address,trans,comforts,education,medical,eatery,culture
대전광역시 대덕구 비래동 우암로492번길 78,0,17,142,30,328,5
대전광역시 대덕구 비래동 비래동로39번길 22,0,27,171,36,432,8
대전광역시 대덕구 비래동 비래동로24번길 37,0,35,108,39,451,5
대전광역시 대덕구 비래동 비래동로39번길 23,0,28,171,37,444,8
대전광역시 대덕구 비래동 동서대로1770번길 36,0,65,136,72,858,11
대전광역시 대덕구 비래동 비래동로7번길 21,0,49,129,48,551,8
대전광역시 대덕구 비래동 비래동로31번길 11,0,34,162,39,501,6
대전광역시 대덕구 비래동 우암동로7번길 22,0,20,168,30,368,5
대전광역시 대덕구 비래동 비래서로61번길 36,0,35,109,39,449,5
대전광역시 대덕구 비래동 비래동로32번길 25,0,35,117,37,459,5
대전광역시 대덕구 비래동 비래동로23번길 11,0,40,163,40,512,6
대전광역시 대덕구 비래동 비래동로15번길 61,0,44,185,41,594,7
대전광역시 대덕구 비래동 비래동로31번길 17,0,33,166,38,492,7
대전광역시 대덕구 비래동 비래동로32번길 7,0,28,155,38,466,5
대전광역시 대덕구 비래동 비래동로40번길 55,0,29,100,37,404,5
대전광역시 대덕구 비래동 비래동로32번길 42,0,35,108,39,448,5
대전광역시 대덕구 비래동 비래동로32번길 42-1,0,33,107,39,446,5
대전광역시 대덕구 비래동 비래동로7번길 61,0,49,181,49,684,11
대전광역시 대덕구 비래동 비래동로7번길 25,0,49,130,49,557,8
대전광역시 대덕구 비래동 비래서로 31-1,0,50,130,50,563,8
대전광역시 대덕구 비래동 우암동로17번길 7,0,18,158,30,343,5
대전광역시 대덕구 비래동 동서대로1778번길 20,0,64,131,70,839,11
대전광역시 대덕구 비래동 우암동로15번길 11,0,20,164,30,362,5
대전광역시 대덕구 비래동 우암동로15번길 9,0,20,160,30,359,5
대전광역시 대덕구 비래동 비래동로23번길 24,0,34,170,39,505,8
대전광역시 대덕구 비래동 비래동로15번길 52,0,42,183,42,545,8
대전광역시 대덕구 비래동 비래동로24번길 31,0,36,110,39,460,5
대전광역시 대덕구 비래동 우암동로7번길 25,0,22,170,31,379,5
대전광역시 대덕구 비래동 우암로492번길 60,0,17,144,31,339,5
대전광역시 대덕구 비래동 비래동로15번길 40,0,41,178,41,545,8
대전광역시 대덕구 비래동 동서대로1770번길 7,0,66,131,81,848,10
대전광역시 대덕구 비래동 비래서로10번길 55,0,68,130,82,870,11
대전광역시 대덕구 비래동 비래서로10번길 53-1,0,66,131,82,867,11
대전광역시 대덕구 비래동 비래서로10번길 55-1,0,68,131,82,871,11
대전광역시 대덕구 비래동 동서대로1754번길 39,0,66,133,86,878,11
대전광역시 대덕구 비래동 비래서로 19,0,52,160,53,658,10
대전광역시 대덕구 비래동 비래동로23번길 14,0,35,163,39,504,6
대전광역시 대덕구 비래동 비래서로25번길 20,0,45,157,44,552,7
대전광역시 대덕구 비래동 비래서로25번길 18,0,43,164,44,552,7
대전광역시 대덕구 비래동 비래서로25번길 22,0,44,156,42,552,7
대전광역시 대덕구 비래동 비래서로25번길 29,0,42,174,40,550,8
대전광역시 대덕구 비래동 비래서로25번길 31,0,42,176,40,557,8
대전광역시 대덕구 비래동 우암동로17번길 20,0,17,146,30,333,5
대전광역시 대덕구 비래동 우암동로17번길 22,0,17,145,30,333,5
대전광역시 대덕구 비래동 비래동로23번길 15,0,40,163,39,513,6
대전광역시 대덕구 비래동 비래동로31번길 42,0,29,174,37,447,7
대전광역시 대덕구 비래동 우암로 440,0,21,106,31,369,4
대전광역시 대덕구 비래동 우암로 437,0,27,106,34,394,4
대전광역시 대덕구 비래동 우암동로18번길 25,0,20,138,29,340,4
대전광역시 대덕구 비래동 우암로412번길 124,0,18,136,30,331,3
대전광역시 대덕구 비래동 우암로450번길 10,0,21,141,30,364,4
대전광역시 대덕구 비래동 비래동로39번길 8,0,27,165,37,433,5
대전광역시 대덕구 비래동 비래서로10번길 45,0,64,132,79,848,11
대전광역시 대덕구 비래동 비래동로24번길 24,0,36,115,39,470,6
대전광역시 대덕구 비래동 우암동로15번길 3,0,21,157,30,357,5
대전광역시 대덕구 비래동 비래동로7번길 46,0,45,178,42,590,9
대전광역시 대덕구 비래동 비래서로25번길 19,0,43,172,42,560,7
대전광역시 대덕구 비래동 비래동로7번길 40,0,44,169,44,566,8
대전광역시 대덕구 비래동 비래동로15번길 46,0,42,183,42,547,8
대전광역시 대덕구 상서동 덕암로136번길 13,0,11,24,7,107,2
대전광역시 대덕구 상서동 덕암로148번안길 13,0,12,26,7,109,2
대전광역시 대덕구 상서동 덕암로118번길 29-15,0,9,23,7,106,1
대전광역시 대덕구 석봉동 석봉로37번길 52-12,0,30,105,57,461,2
대전광역시 대덕구 석봉동 덕암북로 97,0,29,90,59,467,4
대전광역시 대덕구 석봉동 대덕대로1593번길 13,0,28,96,57,456,2
대전광역시 대덕구 석봉동 석봉북로23번길 24,0,29,90,59,440,2
대전광역시 대덕구 석봉동 석봉로37번길 10,0,31,107,58,483,3
대전광역시 대덕구 석봉동 대덕대로1601번길 15,0,28,102,57,445,2
대전광역시 대덕구 석봉동 대덕대로1601번길 40,0,28,98,57,422,2
대전광역시 대덕구 석봉동 대덕대로1601번길 59,0,28,88,57,398,2
대전광역시 대덕구 석봉동 대덕대로1593번길 19,0,28,100,57,446,2
대전광역시 대덕구 석봉동 석봉로44번길 13,0,32,107,62,486,3
대전광역시 대덕구 송촌동 송촌남로33번길 7,0,64,150,76,832,12
대전광역시 대덕구 송촌동 동춘당로31번길 37,0,37,236,55,752,7
대전광역시 대덕구 송촌동 동춘당로15번길 23,0,32,202,49,626,7
대전광역시 대덕구 송촌동 한밭대로1283번길 54,0,65,170,78,970,12
대전광역시 대덕구 송촌동 송촌로 29,0,63,200,71,985,11
대전광역시 대덕구 송촌동 송촌로 29-1,0,63,212,76,988,11
대전광역시 대덕구 송촌동 동춘당로31번길 31,0,35,235,55,747,7
대전광역시 대덕구 송촌동 한밭대로1283번길 80-6,0,63,174,68,1002,11
대전광역시 대덕구 송촌동 송촌남로45번길 11,0,60,165,67,917,12
대전광역시 대덕구 송촌동 동춘당로23번길 56-22,0,47,232,57,811,8
대전광역시 대덕구 송촌동 동춘당로31번길 51,0,44,230,55,766,7
대전광역시 대덕구 송촌동 동춘당로31번길 49,0,41,233,55,765,7
대전광역시 대덕구 송촌동 송촌로37번길 21,0,64,221,92,1000,11
대전광역시 대덕구 송촌동 송촌로37번길 13,0,64,230,89,983,11
대전광역시 대덕구 송촌동 송촌로37번길 11,0,64,233,88,981,11
대전광역시 대덕구 송촌동 송촌남로 36,0,61,147,75,820,12
대전광역시 대덕구 송촌동 송촌남로56번길 18,0,60,166,61,842,12
대전광역시 대덕구 송촌동 동춘당로23번길 56-9,0,46,221,55,787,7
대전광역시 대덕구 송촌동 송촌남로 49,0,58,178,56,923,11
대전광역시 대덕구 송촌동 동춘당로31번길 23,0,34,240,55,722,7
대전광역시 대덕구 송촌동 동춘당로31번길 25,0,34,238,55,727,7
대전광역시 대덕구 송촌동 한밭대로1283번길 82,0,64,183,72,1010,11
대전광역시 대덕구 신탄진동 신탄진동로30번길 7,0,26,75,55,422,3
대전광역시 대덕구 신탄진동 신탄진동로42번길 20,0,25,67,54,400,3
대전광역시 대덕구 신탄진동 대덕대로1627번길 96,0,23,79,51,347,2
대전광역시 대덕구 신탄진동 신탄진동로36번길 53,0,24,66,51,409,3
대전광역시 대덕구 신탄진동 신탄진로762번길 6,0,31,91,63,477,4
대전광역시 대덕구 신탄진동 신탄진동로36번길 25,0,25,68,54,408,3
대전광역시 대덕구 신탄진동 남경마을로33번길 10,0,18,51,21,310,3
대전광역시 대덕구 신탄진동 남경마을로33번길 12,0,19,52,24,324,3
대전광역시 대덕구 신탄진동 신탄진동로8번길 46,0,29,85,60,469,3
대전광역시 대덕구 신탄진동 신탄진동로8번길 48,0,29,88,61,471,3
대전광역시 대덕구 신탄진동 신탄진로810번길 78,0,23,66,51,380,2
대전광역시 대덕구 신탄진동 신탄진로810번길 74,0,23,67,51,379,2
대전광역시 대덕구 신탄진동 신탄진로810번길 68,0,23,67,51,381,2
대전광역시 대덕구 신탄진동 신탄진로810번길 72,0,23,67,51,385,2
대전광역시 대덕구 신탄진동 남경마을로 24,0,22,61,32,363,3
대전광역시 대덕구 신탄진동 신탄진남로 15,0,19,49,43,345,2
대전광역시 대덕구 신탄진동 대덕대로1627번길 70,0,24,83,51,371,2
대전광역시 대덕구 신탄진동 신탄진동로30번길 15,0,27,76,55,423,3
대전광역시 대덕구 신탄진동 신탄진동로8번길 38,0,31,91,62,473,3
대전광역시 대덕구 신탄진동 신탄진동로8번길 36,0,30,91,60,474,3
대전광역시 대덕구 신탄진동 신탄진동로36번길 45,0,25,67,54,410,3
대전광역시 대덕구 신탄진동 신탄진로804번길 56,0,23,72,55,390,2
대전광역시 대덕구 신탄진동 대덕대로1627번길 76,0,24,79,51,362,2
대전광역시 대덕구 신탄진동 신탄진로839번길 52,0,24,80,51,354,2
대전광역시 대덕구 신탄진동 신탄진로844번길 19-5,0,25,87,51,361,2
대전광역시 대덕구 신탄진동 신탄진로772번길 11,0,30,95,60,470,3
대전광역시 대덕구 신탄진동 신탄진동로24번길 33,0,27,78,55,433,3
대전광역시 대덕구 신탄진동 신탄진로790번길 65-2,0,23,70,55,388,2
대전광역시 대덕구 오정동 오정로100번길 60,0,9,42,24,185,5
대전광역시 대덕구 오정동 한남로155번길 8,0,16,56,23,286,7
대전광역시 대덕구 오정동 한남로155번길 12,0,16,56,25,296,7
대전광역시 대덕구 오정동 오정로38번안길 17,0,23,45,23,304,8
대전광역시 대덕구 오정동 한남로114번길 64,0,32,60,27,416,10
대전광역시 대덕구 오정동 오정로41번길 54-14,0,16,38,13,241,3
대전광역시 대덕구 오정동 오정로41번길 54-12,0,16,38,13,241,3
대전광역시 대덕구 오정동 대전로1066번길 38,0,36,58,24,450,10
대전광역시 대덕구 오정동 대전로1131번길 12-9,0,21,47,28,247,8
대전광역시 대덕구 오정동 한밭대로994번길 12,0,8,40,23,168,4
대전광역시 대덕구 오정동 오정로 34,0,22,44,23,278,8
대전광역시 대덕구 오정동 오정로 34-1,0,19,43,22,260,8
대전광역시 대덕구 오정동 한밭대로1003번길 37,0,11,36,21,182,6
대전광역시 대덕구 오정동 한밭대로994번길 79,0,16,40,29,222,9
대전광역시 대덕구 오정동 대전로1112번안길 6,0,29,56,26,376,9
대전광역시 대덕구 오정동 한밭대로972번길 51,0,10,52,26,195,4
대전광역시 대덕구 오정동 한남로155번길 13,0,18,60,23,287,8
대전광역시 대덕구 오정동 한남로88번길 42-10,0,41,74,28,483,10
대전광역시 대덕구 오정동 대전로1066번길 41,0,36,57,25,450,10
대전광역시 대덕구 오정동 오정로89번길 28-7,0,17,83,35,300,4
대전광역시 대덕구 오정동 홍도로99번길 11,0,72,117,65,874,11
대전광역시 대덕구 오정동 대전로1019번길 23,0,30,87,27,423,10
대전광역시 대덕구 오정동 오정로38번안길 13,0,22,45,23,289,8
대전광역시 대덕구 오정동 오정로52번길 64,0,22,45,27,270,9
대전광역시 대덕구 오정동 오정로52번길 62,0,22,44,27,276,9
대전광역시 대덕구 오정동 오정로100번길 57-10,0,9,41,23,176,4
대전광역시 대덕구 오정동 한남로138번길 59,0,16,38,14,233,4
대전광역시 대덕구 오정동 오정로75번길 88,0,21,89,33,381,5
대전광역시 대덕구 오정동 오정로99번길 48,0,19,94,41,338,4
대전광역시 대덕구 오정동 한밭대로994번길 53-22,0,13,38,28,224,8
대전광역시 대덕구 오정동 대전로1066번길 22,0,31,54,23,423,9
대전광역시 대덕구 와동 신탄진로232번길 38,0,5,19,5,53,0
대전광역시 대덕구 와동 신탄진로232번길 36,0,5,19,5,53,0
대전광역시 대덕구 와동 신탄진로232번길 32,0,5,19,5,53,0
대전광역시 대덕구 읍내동 대전로1397번길 46,0,5,36,11,76,4
대전광역시 대덕구 읍내동 아리랑로 113-16,0,6,37,12,100,3
대전광역시 대덕구 읍내동 대전로1375번길 18,0,7,44,21,93,10
대전광역시 대덕구 읍내동 아리랑로113번길 55,0,7,54,21,95,10
대전광역시 대덕구 읍내동 아리랑로113번안길 15,0,6,38,12,105,5
대전광역시 대덕구 읍내동 아리랑로113번길 15-16,0,6,38,12,103,5
대전광역시 대덕구 읍내동 대전로1375번길 27,0,5,37,11,79,4
대전광역시 대덕구 읍내동 계족로 729,0,7,65,25,93,10
대전광역시 대덕구 읍내동 대전로1375번길 39-1,0,5,38,11,78,5
대전광역시 대덕구 읍내동 대전로1375번길 41,0,5,38,11,79,5
대전광역시 대덕구 읍내동 대전로1375번길 43,0,5,37,11,78,4
대전광역시 대덕구 읍내동 대전로1375번길 27-1,0,5,37,11,76,4
대전광역시 대덕구 중리동 중리로54번길 33-10,0,36,178,92,752,12
대전광역시 대덕구 중리동 중리로7번길 36-14,0,33,125,63,636,9
대전광역시 대덕구 중리동 홍도로135번길 101,0,46,119,43,731,9
대전광역시 대덕구 중리동 중리로21번길 37,0,32,122,64,606,10
대전광역시 대덕구 중리동 중리로7번길 36-17,0,32,125,64,604,9
대전광역시 대덕구 중리동 홍도로113번길 8,0,67,127,49,805,9
대전광역시 대덕구 중리동 홍도로113번길 10,0,67,125,48,798,9
대전광역시 대덕구 중리동 홍도로129번길 79-1,0,53,126,55,758,9
대전광역시 대덕구 중리동 홍도로119번길 10,0,63,126,44,807,9
대전광역시 대덕구 중리동 계족로521번길 61,0,68,137,51,1024,11
대전광역시 대덕구 중리동 홍도로129번길 13,0,59,123,46,822,10
대전광역시 대덕구 중리동 홍도로129번길 5,0,60,128,49,829,10
대전광역시 대덕구 중리동 중리동로55번길 19,0,37,206,87,838,13
대전광역시 대덕구 중리동 홍도로135번길 98,0,44,124,58,737,9
대전광역시 대덕구 중리동 한밭대로1117번길 35-5,0,32,126,62,568,9
대전광역시 대덕구 중리동 중리로31번길 41,0,27,125,67,593,9
대전광역시 대덕구 중리동 중리로43번길 50-7,0,28,117,71,586,9
대전광역시 대덕구 중리동 홍도로113번길 33,0,62,124,53,758,9
대전광역시 대덕구 중리동 중리로64번길 19-13,0,33,161,86,665,10
대전광역시 대덕구 평촌동 덕암로188번길 38,0,14,40,13,173,2
대전광역시 대덕구 평촌동 덕암로188번길 40,0,14,40,13,172,2
대전광역시 대덕구 평촌동 덕암로188번길 36,0,14,40,13,173,2
대전광역시 대덕구 평촌동 덕암로182번길 21,0,14,40,13,175,2
대전광역시 대덕구 평촌동 덕암로148번안길 95,0,14,40,13,172,2
대전광역시 대덕구 평촌동 덕암로168번길 16,0,12,33,7,135,2
대전광역시 동구 가양동 우암로296번길 69,0,50,113,38,594,7
대전광역시 동구 가양동 매봉로 25,0,58,158,99,874,10
대전광역시 동구 가양동 흥룡로36번길 26,0,49,137,66,728,7
대전광역시 동구 가양동 계족로382번길 148,0,59,153,112,872,11
대전광역시 동구 가양동 계족로382번길 146,0,59,147,112,860,11
대전광역시 동구 가양동 가양남로23번길 16,0,43,107,51,684,11
대전광역시 동구 가양동 동서대로1748번길 108,0,56,139,71,788,10
대전광역시 동구 가양동 동서대로1748번길 110,0,54,139,71,780,10
대전광역시 동구 가양동 동서대로1748번길 106,0,57,139,71,796,10
대전광역시 동구 가양동 흥룡로37번길 41,0,64,137,90,918,12
대전광역시 동구 가양동 흥룡로37번길 39,0,65,137,90,913,12
대전광역시 동구 가양동 우암로291번길 68,0,64,138,89,917,12
대전광역시 동구 가양동 우암로291번길 72,0,66,138,89,923,12
