"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","49.42","201904","6","12,400","12","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","33.82","201904","27","10,900","18","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","35.47","201905","8","10,900","11","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","36.98","201905","18","10,940","9","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","33.82","201906","11","10,000","8","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","36.6","201908","27","10,200","13","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","36.98","201911","9","11,500","19","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","54.61","201911","12","14,350","8","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","36.98","201911","13","11,000","11","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","36.98","201911","22","11,000","11","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","36.98","202001","4","9,500","15","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","33.82","202002","13","11,500","22","2008","청사로 148"
"대전광역시 서구 둔산동","939","939","0","매그놀리아","35.47","202003","6","10,400","14","2008","청사로 148"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","146.17","201904","30","30,300","13","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","146.17","201904","30","25,000","13","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","100.94","201907","22","21,000","12","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","71.01","201910","8","15,200","7","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","100.94","201911","5","18,500","11","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","77.27","201911","8","17,500","7","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","100.94","201911","8","19,000","8","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","169.19","201911","29","63,000","13","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","123.6","201912","9","32,000","10","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","77.27","202002","3","15,500","8","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","77.27","202002","12","17,500","9","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","108.68","202002","15","20,000","8","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","100.94","202002","19","19,000","7","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","77.27","202002","24","16,500","11","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","77.27","202002","24","17,500","12","2005","둔산중로 66"
"대전광역시 서구 둔산동","1405","1405","0","메트로팰리스","77.27","202002","24","17,500","7","2005","둔산중로 66"
"대전광역시 서구 둔산동","1412","1412","0","센티온 빌딩","54.82","201904","12","11,000","10","2005","둔산중로 54"
"대전광역시 서구 둔산동","1412","1412","0","센티온 빌딩","51.36","201906","19","8,000","6","2005","둔산중로 54"
"대전광역시 서구 둔산동","1412","1412","0","센티온 빌딩","51.76","201909","4","10,700","13","2005","둔산중로 54"
"대전광역시 서구 둔산동","1412","1412","0","센티온 빌딩","33.13","201911","8","6,850","5","2005","둔산중로 54"
"대전광역시 서구 둔산동","1412","1412","0","센티온 빌딩","51.36","202001","18","8,300","4","2005","둔산중로 54"
"대전광역시 서구 둔산동","1412","1412","0","센티온 빌딩","51.36","202002","7","10,500","5","2005","둔산중로 54"
"대전광역시 서구 둔산동","1380-1","1380","1","아너스빌","26.25","201910","18","4,350","19","2000","둔산북로 121"
"대전광역시 서구 둔산동","1380-1","1380","1","아너스빌","35.84","202002","12","5,700","12","2000","둔산북로 121"
"대전광역시 서구 둔산동","1293","1293","0","케이티 그랜드 뷰","39.09","201904","8","8,400","9","2004","둔산서로 65"
"대전광역시 서구 둔산동","1293","1293","0","케이티 그랜드 뷰","27.42","201907","12","5,400","5","2004","둔산서로 65"
"대전광역시 서구 둔산동","1293","1293","0","케이티 그랜드 뷰","27.42","201911","29","5,500","9","2004","둔산서로 65"
"대전광역시 서구 둔산동","1293","1293","0","케이티 그랜드 뷰","29.34","202001","31","4,900","5","2004","둔산서로 65"
"대전광역시 서구 둔산동","1293","1293","0","케이티 그랜드 뷰","28.4","202002","7","4,980","10","2004","둔산서로 65"
"대전광역시 서구 둔산동","1423","1423","0","크레온오피스텔","77.19","201908","2","13,500","12","2005","둔산남로 85"
"대전광역시 서구 둔산동","1423","1423","0","크레온오피스텔","78.46","201910","17","15,000","6","2005","둔산남로 85"
"대전광역시 서구 둔산동","1423","1423","0","크레온오피스텔","86.94","201911","13","16,300","7","2005","둔산남로 85"
"대전광역시 서구 둔산동","1423","1423","0","크레온오피스텔","85.16","202003","3","14,300","10","2005","둔산남로 85"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","82.35","201905","20","17,500","9","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","77.87","201906","13","17,900","8","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","82.35","201906","28","18,800","14","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","82.35","201909","26","17,000","5","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","77.87","201911","14","17,500","6","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","82.35","201912","16","17,200","5","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","82.35","202001","15","17,500","8","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","55.92","202001","17","15,500","4","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","77.87","202001","22","17,000","9","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","40.75","202001","23","10,500","3","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","40.75","202002","12","10,000","2","2005","청사로 160"
"대전광역시 서구 둔산동","936","936","0","태산시그마빌","77.87","202002","28","17,400","7","2005","청사로 160"
"대전광역시 서구 만년동","386","386","0","	(386)	","39","201904","1","6,000","6","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","45","201904","12","7,900","11","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","45","201905","22","7,500","8","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","41.19","201906","25","7,300","7","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","39","201907","5","4,900","10","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","36.22","201907","15","4,600","10","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","41.19","201907","31","5,600","7","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","41.19","201908","5","6,000","6","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","29.7","201910","1","5,000","8","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","39","201912","20","5,400","9","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","39","201912","23","7,400","11","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","45","202002","7","5,500","8","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","39","202002","17","4,500","9","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","45","202002","17","5,200","6","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","45","202003","4","5,000","11","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","41.19","202003","11","5,000","8","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","41.08","202003","11","5,000","9","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","386","386","0","	(386)	","45","202003","22","7,350","9","2002","둔산대로117번길 66"
"대전광역시 서구 만년동","282","282","0","대전 둔산 해가든 센트럴파크","143.19","201909","5","35,000","4","2011","대덕대로 366"
"대전광역시 서구 만년동","282","282","0","대전 둔산 해가든 센트럴파크","137.74","201910","12","41,800","11","2011","대덕대로 366"
"대전광역시 서구 만년동","282","282","0","대전 둔산 해가든 센트럴파크","143.19","201911","5","40,000","8","2011","대덕대로 366"
"대전광역시 서구 만년동","282","282","0","대전 둔산 해가든 센트럴파크","143.19","201912","4","40,800","8","2011","대덕대로 366"
"대전광역시 서구 만년동","282","282","0","대전 둔산 해가든 센트럴파크","137.74","201912","11","41,000","17","2011","대덕대로 366"
"대전광역시 서구 만년동","282","282","0","대전 둔산 해가든 센트럴파크","143.19","202002","8","40,500","6","2011","대덕대로 366"
"대전광역시 서구 만년동","389","389","0","리체스","38.65","201907","3","10,000","10","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","29.91","201908","9","5,700","2","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","29.91","201908","19","6,700","8","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","37.78","201910","10","11,000","5","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","29.91","201910","10","6,000","2","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","29.91","201910","10","6,500","3","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","27.64","201910","11","6,100","2","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","29.91","201910","28","6,400","9","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","33.27","201912","17","9,250","4","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","29.91","202001","3","6,000","5","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","389","389","0","리체스","27.64","202003","13","8,500","12","2008","둔산대로117번길 76"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","40.15","201904","10","6,950","11","1998","둔산대로117번길 44"
"대전광역시 서구 만년동","381","381","0","엑스포오피스텔1차","59.08","201906","14","9,000","5","1998","둔산대로117번길 44"
