"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 덕암동","64-1","0064","0001","예성A","54.11","30.3","201904","9","5,200","3","1996","덕암로173번길 23"
"대전광역시 대덕구 덕암동","64-20","0064","0020","예성B동","49.66","36.04","202002","20","5,000","2","1996","덕암로173번길 21"
"대전광역시 대덕구 덕암동","78-10","0078","0010","오성빌라","50.22","42.16","201905","1","4,500","1","1994","덕암로137번길 18"
"대전광역시 대덕구 덕암동","72-5","0072","0005","우석하이츠(1동)","34.2","20.43","202001","16","2,800","4","1994","덕암로159번길 29"
"대전광역시 대덕구 덕암동","72-5","0072","0005","우석하이츠(1동)","53.28","31.83","202002","22","4,000","2","1994","덕암로159번길 29"
"대전광역시 대덕구 덕암동","72-18","0072","0018","우석하이츠(2동)","35.64","21.54","201912","2","3,550","1","1994","덕암로159번길 27"
"대전광역시 대덕구 덕암동","72-18","0072","0018","우석하이츠(2동)","53.28","32.2","202003","25","3,200","3","1994","덕암로159번길 27"
"대전광역시 대덕구 덕암동","72-19","0072","0019","우석하이츠(3동)","53.28","32.75","201910","26","4,400","2","1994","덕암로159번길 25"
"대전광역시 대덕구 덕암동","55-3","0055","0003","원일주택(가,나,다동)","45.72","47.35","201905","30","4,500","1","1989","덕암로221번길 43"
"대전광역시 대덕구 덕암동","108-11","0108","0011","원창빌라","45.21","38.76","201912","26","5,100","2","1990","덕암로125번안길 22"
"대전광역시 대덕구 덕암동","79-9","0079","0009","전원빌리지","76.86","67.6","201905","30","10,500","1","1997","덕암로125번안길 46"
"대전광역시 대덕구 덕암동","41-13","0041","0013","정궁빌라(가동)","45.12","31.75","201910","15","3,200","1","1989","덕암북로22번길 150"
"대전광역시 대덕구 덕암동","8-8","0008","0008","정금주택(다동)","44.72","45.26","201907","2","2,750","1","1990","덕암북로22번길 55-2"
"대전광역시 대덕구 덕암동","1-19","0001","0019","제일빌라(A동)","43.98","28.18","201910","9","4,300","3","1991","덕암북로10번길 6"
"대전광역시 대덕구 덕암동","2-2","0002","0002","중앙","48.87","53.88","202001","14","4,000","1","1985","덕암로265번길 119"
"대전광역시 대덕구 덕암동","2-2","0002","0002","중앙","48.87","53.88","202003","4","3,000","3","1985","덕암로265번길 119"
"대전광역시 대덕구 덕암동","72-3","0072","0003","진베스트빌","72.21","42.26","201909","16","9,100","2","2004","덕암로159번길 31"
"대전광역시 대덕구 덕암동","58-7","0058","0007","탐라빌라","44.66","39.04","201906","10","2,500","2","1992","덕암로203번길 27"
"대전광역시 대덕구 덕암동","58-7","0058","0007","탐라빌라","45.43","31.26","201907","29","3,000","1","1992","덕암로203번길 27"
"대전광역시 대덕구 덕암동","62-8","0062","0008","평화주택(A,B동)","49.81","40.21","201910","16","1,500","-1","1991","덕암로181번길 36"
"대전광역시 대덕구 덕암동","64-15","0064","0015","한라(A동)","52.02","33.27","201904","9","6,000","3","1991","덕암로173번길 13"
"대전광역시 대덕구 덕암동","64-2","0064","0002","한라(C동)","52.02","32.18","202001","2","4,450","4","1991","덕암로173번길 17"
"대전광역시 대덕구 덕암동","2-5","0002","0005","한라빌라(다,라동)","44.28","41.19","201908","30","3,800","1","1989","덕암북로10번길 13"
"대전광역시 대덕구 덕암동","2-5","0002","0005","한라빌라(다,라동)","44.28","41.19","201909","2","3,500","1","1989","덕암북로10번길 13"
