"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 정선군 고한읍 고한리","36-50","0036","0050","중앙파크빌(D동)","76.6","60","202004","22","10,000","1","2011","고한7길 5-20"
"강원도 정선군 고한읍 고한리","36-51","0036","0051","중앙파크빌(F동)","76.6","60","202004","16","11,500","3","2011","고한7길 5-20"
"강원도 정선군 신동읍 조동리","303-1","0303","0001","장미주택","44.37","66.48","202004","15","1,700","2","1989","조동2길 37"
"강원도 정선군 정선읍 봉양리","247-4","0247","0004","그린빌라","84.495","66.75","202004","16","17,700","3","1995","비봉로 6"
"강원도 철원군 갈말읍 군탄리","338-14","0338","0014","성우빌라","91.98","67.63","202004","27","5,000","1","1991","명성로 202-14"
"강원도 철원군 갈말읍 군탄리","338-4","0338","0004","재흥빌라","27","20.32","202004","22","2,000","2","1995","명성로 202-21"
"강원도 철원군 갈말읍 군탄리","338-4","0338","0004","재흥빌라","27","20.32","202004","27","1,200","3","1995","명성로 202-21"
"강원도 철원군 갈말읍 신철원리","572-29","0572","0029","삼흥빌라(572-29)","86.76","55.86","202004","18","9,000","1","1992","삼부연로17번안길 19-16"
"강원도 철원군 갈말읍 지경리","339","0339","0000","성우아트빌라","58.98","64.88","202004","23","1,500","3","1993","청양로 75-3"
"강원도 철원군 동송읍 이평리","687-14","0687","0014","국제빌리지","48.89","40.65","202004","21","13,000","5","2018","이평3로 131"
"강원도 철원군 동송읍 이평리","848-61","0848","0061","모벡스빌","88.29","51.47","202004","22","8,000","4","2007","이평로95번길 24-1"
"강원도 철원군 동송읍 이평리","848-59","0848","0059","우성빌라(에이)","48.24","32.33","202004","21","2,600","4","1993","이평로95번길 22"
"강원도 철원군 동송읍 이평리","850-13","0850","0013","현대","59.94","52.29","202004","8","2,500","3","1986","금학로217번길 18"
"강원도 철원군 철원읍 화지리","35-3","0035","0003","화인빌라","53.79","60.71","202004","26","3,000","3","1989","금학로 300"
"강원도 춘천시 근화동","283-14","0283","0014","무궁화","92.99","88.32","202004","1","10,360","1","1983","근화길15번길 11"
"강원도 춘천시 근화동","283-14","0283","0014","무궁화","98.12","88.32","202004","1","9,950","3","1983","근화길15번길 11"
"강원도 춘천시 근화동","467-46","0467","0046","성경빌라A동","49.18","44.61","202004","27","5,500","2","1989","소양로 22-13"
"강원도 춘천시 신북읍 율문리","546-3","0546","0003","전원빌라","75.27","75.23","202004","2","5,800","4","1998","율문1길 13-6"
"강원도 춘천시 효자동","149-1","0149","0001","소양","60.88","56.5","202004","28","4,300","1","1981","도화길6번길 39"
"강원도 춘천시 후평동","808-1","0808","0001","4단지(연립)","47.37","66.95","202004","22","6,700","3","1986","대양당길 4"
"강원도 춘천시 후평동","808-1","0808","0001","4단지(연립)","47.37","66.95","202004","22","6,950","2","1986","대양당길 4"
"강원도 춘천시 후평동","732","0732","0000","광명주택","73.8825","69.5","202004","1","6,000","3","1982","보안길 134"
"강원도 춘천시 후평동","866","0866","0000","금호빌리지","84.98","101.05","202004","15","14,700","4","1992","후만로 119"
"강원도 춘천시 후평동","857","0857","0000","동보빌리지","64.62","76.52","202004","17","11,900","1","1987","삭주로 90"
"강원도 춘천시 후평동","94-15","0094","0015","하이빌라","94.32","77.66","202004","10","9,000","3","1992","수풍골길13번길 8-5"
"강원도 태백시 문곡동","28-1","0028","0001","고원","43.08","81.87","202004","9","1,850","3","1991","섬거랑길 11"
