index,위도,경도,도로명주소,API,교통,마트편의점,교육시설,의료시설,음식점카페,문화공간
838,127.380557742,36.320683349,대전광역시 서구 도마동 도마15길 30,"{'교통': 0, '마트편의점': 28, '교육시설': 101, '의료시설': 85, '음식점카페': 536, '문화공간': 3}",0,28,101,85,536,3
839,127.380767802,36.320827500,대전광역시 서구 도마동 도마15길 32,"{'교통': 0, '마트편의점': 27, '교육시설': 109, '의료시설': 86, '음식점카페': 539, '문화공간': 3}",0,27,109,86,539,3
840,127.375741019,36.311445809,대전광역시 서구 도마동 계백로 1385,"{'교통': 0, '마트편의점': 22, '교육시설': 70, '의료시설': 71, '음식점카페': 368, '문화공간': 7}",0,22,70,71,368,7
841,127.377081761,36.314728824,대전광역시 서구 도마동 제비네11길 26,"{'교통': 0, '마트편의점': 27, '교육시설': 72, '의료시설': 77, '음식점카페': 451, '문화공간': 7}",0,27,72,77,451,7
842,127.376923617,36.314701026,대전광역시 서구 도마동 제비네11길 24,"{'교통': 0, '마트편의점': 27, '교육시설': 72, '의료시설': 77, '음식점카페': 454, '문화공간': 7}",0,27,72,77,454,7
843,127.372809636,36.316677689,대전광역시 서구 도마동 도솔로 67-5,"{'교통': 0, '마트편의점': 32, '교육시설': 81, '의료시설': 85, '음식점카페': 491, '문화공간': 9}",0,32,81,85,491,9
844,127.372810313,36.316469063,대전광역시 서구 도마동 도솔로 65,"{'교통': 0, '마트편의점': 32, '교육시설': 82, '의료시설': 85, '음식점카페': 491, '문화공간': 9}",0,32,82,85,491,9
845,127.375564125,36.320321368,대전광역시 서구 도마동 용화5길 29,"{'교통': 0, '마트편의점': 35, '교육시설': 85, '의료시설': 87, '음식점카페': 559, '문화공간': 5}",0,35,85,87,559,5
846,127.378447498,36.314243999,대전광역시 서구 도마동 제비네12길 47,"{'교통': 0, '마트편의점': 23, '교육시설': 70, '의료시설': 79, '음식점카페': 429, '문화공간': 7}",0,23,70,79,429,7
847,127.376506545,36.313739789,대전광역시 서구 도마동 제비네6길 51,"{'교통': 0, '마트편의점': 23, '교육시설': 69, '의료시설': 74, '음식점카페': 409, '문화공간': 7}",0,23,69,74,409,7
848,127.374311043,36.321661478,대전광역시 서구 도마동 용화7길 55,"{'교통': 0, '마트편의점': 31, '교육시설': 85, '의료시설': 44, '음식점카페': 536, '문화공간': 5}",0,31,85,44,536,5
849,127.374179662,36.321667296,대전광역시 서구 도마동 용화1길 109,"{'교통': 0, '마트편의점': 31, '교육시설': 84, '의료시설': 44, '음식점카페': 531, '문화공간': 5}",0,31,84,44,531,5
850,127.379474562,36.32172342,대전광역시 서구 도마동 도마로 86-1,"{'교통': 0, '마트편의점': 27, '교육시설': 101, '의료시설': 72, '음식점카페': 560, '문화공간': 3}",0,27,101,72,560,3
851,127.373198941,36.321654321,대전광역시 서구 도마동 도학1길 5,"{'교통': 0, '마트편의점': 31, '교육시설': 77, '의료시설': 40, '음식점카페': 496, '문화공간': 5}",0,31,77,40,496,5
852,127.373458873,36.314256804,대전광역시 서구 도마동 도솔로 41,"{'교통': 0, '마트편의점': 30, '교육시설': 81, '의료시설': 77, '음식점카페': 476, '문화공간': 9}",0,30,81,77,476,9
853,127.380171804,36.319866216,대전광역시 서구 도마동 도마15길 9,"{'교통': 0, '마트편의점': 26, '교육시설': 90, '의료시설': 82, '음식점카페': 529, '문화공간': 4}",0,26,90,82,529,4
854,127.380170989,36.319721219,대전광역시 서구 도마동 도마15길 7,"{'교통': 0, '마트편의점': 26, '교육시설': 91, '의료시설': 83, '음식점카페': 532, '문화공간': 4}",0,26,91,83,532,4
855,127.376607551,36.320802470,대전광역시 서구 도마동 용화4길 34,"{'교통': 0, '마트편의점': 33, '교육시설': 91, '의료시설': 89, '음식점카페': 575, '문화공간': 5}",0,33,91,89,575,5
856,127.372876758,36.318192093,대전광역시 서구 도마동 도솔2길 12,"{'교통': 0, '마트편의점': 33, '교육시설': 81, '의료시설': 81, '음식점카페': 515, '문화공간': 8}",0,33,81,81,515,8
857,127.371022053,36.313084115,대전광역시 서구 도마동 도솔5길 96,"{'교통': 0, '마트편의점': 27, '교육시설': 83, '의료시설': 92, '음식점카페': 426, '문화공간': 8}",0,27,83,92,426,8
858,127.371175660,36.314833912,대전광역시 서구 도마동 도솔5길 60,"{'교통': 0, '마트편의점': 31, '교육시설': 79, '의료시설': 78, '음식점카페': 467, '문화공간': 9}",0,31,79,78,467,9
859,127.371035507,36.314842277,대전광역시 서구 도마동 도솔5길 58,"{'교통': 0, '마트편의점': 30, '교육시설': 77, '의료시설': 78, '음식점카페': 461, '문화공간': 9}",0,30,77,78,461,9
860,127.375639790,36.312998050,대전광역시 서구 도마동 제비네7길 59,"{'교통': 0, '마트편의점': 21, '교육시설': 71, '의료시설': 70, '음식점카페': 367, '문화공간': 7}",0,21,71,70,367,7
861,127.376642069,36.318024204,대전광역시 서구 도마동 사마5길 20,"{'교통': 0, '마트편의점': 32, '교육시설': 87, '의료시설': 84, '음식점카페': 544, '문화공간': 6}",0,32,87,84,544,6
862,127.369480440,36.312761040,대전광역시 서구 도마동 도림7길 38,"{'교통': 0, '마트편의점': 26, '교육시설': 90, '의료시설': 76, '음식점카페': 376, '문화공간': 8}",0,26,90,76,376,8
863,127.373201917,36.319592413,대전광역시 서구 도마동 도솔로 101-1,"{'교통': 0, '마트편의점': 32, '교육시설': 80, '의료시설': 81, '음식점카페': 516, '문화공간': 5}",0,32,80,81,516,5
